idx,condition_dataset_name,condition_query_name,condition_cond,parameter_value,luminous-supreme-control_int100query,gpt-4,gpt-3.5-turbo
0,cc,alien,annealing,0.0,0.01340441736481341,0.01340441736481341,0.01340441736481341
1,cc,alien,annealing,0.1,0.01340441736481341,0.01340441736481341,0.01340441736481341
2,cc,alien,annealing,0.2,0.011683168316831688,0.01340441736481341,0.01340441736481341
3,cc,alien,annealing,0.3,0.011287128712871294,0.01340441736481341,0.01340441736481341
4,cc,alien,annealing,0.4,0.011268755741553543,0.01340441736481341,0.013008377760853014
5,cc,alien,annealing,0.5,0.009964867454487387,0.01340441736481341,0.011820258948971825
6,cc,alien,annealing,0.6,0.009052333804809055,0.01340441736481341,0.009047981721249052
7,cc,alien,annealing,0.7,0.008867487245002418,0.01340441736481341,0.007463823305407468
8,cc,alien,annealing,0.8,0.00822543792840823,0.01340441736481341,0.004371667936024375
9,cc,alien,annealing,0.9,0.00798685985373329,0.01340441736481341,0.0040974866717441005
10,cc,alien,annealing,1.0,0.008149276466108153,0.01340441736481341,0.0020411271896420414
11,cc,alien,annealing,1.1,0.0074638233054074654,0.013008377760853014,0.003625285605483628
12,cc,alien,annealing,1.2,0.007114830275627371,0.01340441736481341,0.004584920030464588
13,cc,alien,annealing,1.3,0.006310521162006314,0.013206397562833212,0.004188880426504191
14,cc,alien,annealing,1.4,0.006269686797739605,0.012612338156892618,0.004204112718964206
15,cc,alien,annealing,1.5,0.005965981213505968,0.013206397562833212,0.0056207159177456235
16,cc,alien,annealing,1.6,0.005918833641605921,0.01241431835491242,0.006259087447206262
17,cc,alien,annealing,1.7,0.006073262413089948,0.013008377760853016,0.0067488381491210385
18,cc,alien,annealing,1.8,0.004141279512566644,0.010830159939070834,0.006851422975892569
19,cc,alien,annealing,1.9,0.0054450082061293925,0.011226199543031234,0.006751946780235327
20,cc,alien,annealing,2.0,0.0050405040504050425,0.011820258948971825,0.006911652703731914
21,cc,econ,annealing,0.0,0.009900990099009903,0.016146230007616155,0.016146230007616155
22,cc,econ,annealing,0.1,0.009900990099009903,0.016146230007616155,0.016146230007616155
23,cc,econ,annealing,0.2,0.016146230007616155,0.016146230007616155,0.016146230007616155
24,cc,econ,annealing,0.3,0.016146230007616155,0.015354150799695362,0.016146230007616155
25,cc,econ,annealing,0.4,0.012490479817212494,0.016146230007616155,0.015948210205635957
26,cc,econ,annealing,0.5,0.01157654226961158,0.013373952779893379,0.014958111195734964
27,cc,econ,annealing,0.6,0.010967250571210972,0.013023610053313029,0.014364051789794371
28,cc,econ,annealing,0.7,0.010633590831610636,0.012429550647372434,0.014364051789794371
29,cc,econ,annealing,0.8,0.010432061917210435,0.012246763137852251,0.010860624523990864
30,cc,econ,annealing,0.9,0.010446145829157817,0.011613469039211616,0.010997715156131002
31,cc,econ,annealing,1.0,0.009375044906522587,0.011500380807311503,0.010007616146230011
32,cc,econ,annealing,1.1,0.009457868863809461,0.011637471439451642,0.007920792079207924
33,cc,econ,annealing,1.2,0.009384090994219222,0.01107605266021108,0.005757806549885761
34,cc,econ,annealing,1.3,0.007610504640207612,0.010267808570495987,0.006245239908606249
35,cc,econ,annealing,1.4,0.00818675274120819,0.01046986959292476,0.005285605483625287
36,cc,econ,annealing,1.5,0.007861828366459479,0.0095382416909415,0.005651180502665653
37,cc,econ,annealing,1.6,0.009509302578609512,0.010159006481495876,0.003031226199543032
38,cc,econ,annealing,1.7,0.00666225512841322,0.010142168062960146,0.004296128199947155
39,cc,econ,annealing,1.8,0.0068829307963390865,0.009552823414209556,0.0034895797272034915
40,cc,econ,annealing,1.9,0.006949457487554777,0.00932660573749683,0.0025742574257425744
41,cc,econ,annealing,2.0,0.006439105449006439,0.009110814927646614,0.00434755013962935
42,cc,sex,annealing,0.0,0.015536938309215542,0.01766945925361768,0.01766945925361768
43,cc,sex,annealing,0.1,0.014897182025894904,0.01766945925361768,0.01766945925361768
44,cc,sex,annealing,0.2,0.013008377760853014,0.017471439451637483,0.017471439451637483
45,cc,sex,annealing,0.3,0.01340441736481341,0.017075399847677086,0.015887281035795897
46,cc,sex,annealing,0.4,0.012612338156892618,0.014348819497334355,0.015140898705255148
47,cc,sex,annealing,0.5,0.012490479817212494,0.014150799695354157,0.013754760091393762
48,cc,sex,annealing,0.6,0.012490479817212491,0.012932216298552936,0.012368621477532375
49,cc,sex,annealing,0.7,0.012339794773522022,0.013160700685453167,0.010860624523990867
50,cc,sex,annealing,0.8,0.012490479817212494,0.013328255902513332,0.008194973343488201
51,cc,sex,annealing,0.9,0.012257515344294615,0.012216298552932221,0.007722772277227727
52,cc,sex,annealing,1.0,0.012251901742537558,0.01174409748667175,0.006062452399086066
53,cc,sex,annealing,1.1,0.012490479817212494,0.010875856816450882,0.0057121096725057125
54,cc,sex,annealing,1.2,0.011187717962079614,0.011271896420411279,0.004158415841584161
